1,page,CLASSIC AN VINTAGE,,,Quantity (oz),,,
25,140,BEE’S KNEES,TANQUERAY LONDON DRY GIN,GIN (LONDON DRY),2,GARNISH: 1 BRANDIED CHERRY,,
26,140,BEE’S KNEES,LEMON JUICE,JUICE (LEMON),0.75,"Shake all the ingredients with ice, then strain into",,
27,140,BEE’S KNEES,ACACIA HONEY SYRUP,SYRUP (HONEY),0.75,a coupe. Garnish with the cherry,,
28,140,BEE’S KNEES,SCRAPPY’S LAVENDER BITTERS,BITTERS (LAVENDER),0.0050721,,,
29,,,,,,,,
30,140,BLOOD AND SAND,SPRINGBANK 10-YEAR SCOTCH,WHISKEY (SCOTCH CAMPBELTOWN),1,GARNISH: 1 BRANDIED CHERRY,,
31,140,BLOOD AND SAND,CHERRY HEERING,CHERRY HEERING,0.5,"Shake all the ingredients with ice, then strain into",,
32,140,BLOOD AND SAND,HOUSE SWEET VERMOUTH,VERMOUTH (SWEET),0.5,a coupe. Garnish with the cherry.,,
33,140,BLOOD AND SAND,ORANGE JUICE,JUICE (ORANGE),0.75,,,
34,140,BLOOD AND SAND,LEMON JUICE,JUICE (LEMON),0.5,,,
35,,,,,,,,
36,140,BOBBY BURNS,SPRINGBANK 10-YEAR SCOTCH,WHISKEY (SCOTCH CAMPBELTOWN),2,GARNISH: 1 LEMON TWIST,,
37,140,BOBBY BURNS,HOUSE SWEET VERMOUTH,VERMOUTH (SWEET),0.75,"1, DASH, ANGOSTURA BITTERS",,
38,140,BOBBY BURNS,DRAMBUIE,LIQUEUR (DRAMBUIE),0.25,"Stir all the ingredients over ice, then strain into a",,
39,,,,,,martini glass. Garnish with the lemon twist.,,
40,,,,,,,,
41,140,BOULEVARDIER,ELIJAH CRAIG 12-YEAR BOURBON,WHISKEY (BOURBON),1.5,GARNISH: 1 LEMON TWIST,,
42,140,BOULEVARDIER,HOUSE SWEET VERMOUTH,VERMOUTH (SWEET),0.75,"Stir all the ingredients over ice, then strain into a",,
43,140,BOULEVARDIER,CAMPARI,AMARO (APERITIVO),0.75,coupe. Garnish with the lemon twist.,,
44,,,,,,,,
45,140,BROOKLYN,RITTENHOUSE 100 RYE,WHISKEY (RYE),2,"Stir all the ingredients over ice, then strain into a",,
46,140,BROOKLYN,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.75,coupe. No garnish.,,
47,140,BROOKLYN,AMARO CIOCIARO,AMARO (MEDIUM),0.25,,,
48,140,BROOKLYN,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.166667,,,
49,,,,,,,,
50,140,BROWN DERBY,ELIJAH CRAIG 12-YEAR BOURBON,WHISKEY (BOURBON),2,GARNISH: 1 GRAPEFRUIT TWIST,,
51,140,BROWN DERBY,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),1,"Shake all the ingredients with ice, then strain into",,
52,140,BROWN DERBY,LEMON JUICE,JUICE (LEMON),0.166667,a coupe. Garnish with the grapefruit twist.,,
53,140,BROWN DERBY,ACACIA HONEY SYRUP,SYRUP (HONEY),0.5,,,
54,,,,,,,,
55,141,CAIPIRINHA,LIME WEDGES,FRUIT (LIME),6,"In a shaker, muddle the lime with the simple",,
56,141,CAIPIRINHA,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,syrup and sugar cube. Add the cachaça and,,
57,141,CAIPIRINHA,WHITE SUGAR CUBE,SUGAR CUBE,0.25,"shake with ice, then dump into a double rocks",,
58,141,CAIPIRINHA,AVUÁ AMBURANA CACHAÇA,CACHAÇA,2,glass. No garnish.,,
59,,,,,,,,
60,141,CHAMPS-ÉLYSÉES,PIERRE FERRAND AMBRE COGNAC,BRANDY (GRAPE),2,GARNISH: 1 LEMON TWIST,,
61,141,CHAMPS-ÉLYSÉES,GREEN CHARTREUSE,CHARTREUSE (GREEN),0.5,"Shake all the ingredients with ice, then strain into",,
62,141,CHAMPS-ÉLYSÉES,LEMON JUICE,JUICE (LEMON),0.75,a coupe. Garnish with the lemon twist.,,
63,141,CHAMPS-ÉLYSÉES,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,,,
64,141,CHAMPS-ÉLYSÉES,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
65,,,,,,,,
66,141,CHARLESTON COCKTAIL,ANCHOR JUNIPERO GIN,GIN (LONDON DRY),0.5,"Stir all the ingredients over ice, then strain into a",,
67,141,CHARLESTON COCKTAIL,MASSENEZ KIRSCH VIEUX CHERRY BRANDY,BRANDY (CHERRY),0.5,coupe. No garnish.,,
68,141,CHARLESTON COCKTAIL,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.5,,,
69,141,CHARLESTON COCKTAIL,PUNT E MES,VERMOUTH (SWEET),0.5,,,
70,141,CHARLESTON COCKTAIL,GABRIEL BOUDIER CURAÇAO,LIQUEUR (ORANGE),0.5,,,
71,141,CHARLESTON COCKTAIL,MARASKA MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.5,,,
72,,,,,,,,
73,141,COBRA’S FANG,APPLETON ESTATE RESERVE RUM,RUM (JAMAICAN),1.5,GARNISH: 1 MINT SPRIG AND 1 LIME WHEEL,,
74,141,COBRA’S FANG,EL DORADO 151 RUM,RUM (DEMERARA OVERPROOF),0.75,"Short shake all the ingredients with 3 ice cubes,",,
75,141,COBRA’S FANG,MASSENEZ CRÈME DE PÊCHE PEACH LIQUEUR,LIQUEUR (PEACH),0.166667,then strain into a tiki mug filled with crushed ice.,,
76,141,COBRA’S FANG,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.0625,Garnish with the mint sprig and lime wheel and,,
77,141,COBRA’S FANG,LIME JUICE,JUICE (LIME),0.75,serve with a straw.,,
78,141,COBRA’S FANG,ORANGE JUICE,JUICE (ORANGE),0.5,,,
79,141,COBRA’S FANG,PASSION FRUIT SYRUP,SYRUP (PASSION FRUIT),0.5,,,
80,141,COBRA’S FANG,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.5,,,
81,141,COBRA’S FANG,GINGER SYRUP,SYRUP (GINGER),0.166667,,,
82,141,COBRA’S FANG,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
83,,,,,,,,
84,141,CORPSE REVIVER #2,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),0.75,"Shake all the ingredients with ice, then strain into",,
85,141,CORPSE REVIVER #2,COINTREAU,LIQUEUR (ORANGE),0.75,a coupe. No garnish.,,
86,141,CORPSE REVIVER #2,LILLET BLANC,APPERITIF (LILLET BLANC),0.75,,,
87,141,CORPSE REVIVER #2,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.0625,,,
88,141,CORPSE REVIVER #2,LEMON JUICE,JUICE (LEMON),0.75,,,
89,,,,,,,,
90,141,DAIQUIRI,FLOR DE CAÑA EXTRA-DRY WHITE RUM,RUM (SPANISH WHITE),2,GARNISH: 1 LIME WEDGE,,
91,141,DAIQUIRI,LIME JUICE,JUICE (LIME),1,"Shake all the ingredients with ice, then strain into",,
92,141,DAIQUIRI,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,a coupe. Garnish with the lime wedge.,,
93,,,,,,,,
94,142,DARK AND STORMY,GOSLINGS BLACK SEAL RUM,RUM (ENGLISH),2,GARNISH: 1 LIME WHEEL AND CANDIED,,
95,142,DARK AND STORMY,LIME JUICE,JUICE (LIME),0.75,GINGER FLAG,,
96,142,DARK AND STORMY,GINGER SYRUP,SYRUP (GINGER),1,"In a shaker, combine all the ingredients (except",,
97,,,CLUB SODA,SODA,remainder,the club soda) and whip (shake with a few pieces,,
98,,,,,,of crushed ice just until the ingredients are,,
99,,,,,,incorporated). Strain into a highball glass filled with,,
100,,,,,,ice cubes. Top with club soda. Garnish with the,,
101,,,,,,lime wheel and candied ginger flag and serve with,,
102,,,,,,a straw.,,
103,,,,,,,,
104,142,DIAMONDBACK,RITTENHOUSE 100 RYE,WHISKEY (RYE),2,"Stir all the ingredients over ice, then strain into a",,
105,142,DIAMONDBACK,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),0.5,Nick & Nora glass.,,
106,142,DIAMONDBACK,YELLOW CHARTREUSE,CHARTREUSE (YELLOW),0.5,,,
107,,,,,,,,
108,142,FANCY-FREE,RITTENHOUSE 100 RYE,WHISKEY (RYE),2,GARNISH: 1 ORANGE TWIST,,
109,142,FANCY-FREE,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.5,"Stir all the ingredients over ice, then strain into",,
110,142,FANCY-FREE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,"double rocks glass over 1, large ice cube. Garnish",,
111,142,FANCY-FREE,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,with the orange twist.,,
112,,,,,,,,
113,142,FITZGERALD,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),2,"GARNISH: 1, LEMON WEDGE",,
114,142,FITZGERALD,LEMON JUICE,JUICE (LEMON),0.75,"Shake all the ingredients with ice, then strain into",,
115,142,FITZGERALD,SIMPLE SYRUP,SYRUP (SIMPLE),1,a double rocks glass. Garnish with the lemon,,
116,142,FITZGERALD,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,wedge.,,
117,,,,,,,,
118,142,FLAMENCO,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),1.5,"Shake all the ingredients with ice, then strain into",,
119,142,FLAMENCO,BOLS GENEVER,GIN (GENEVER),1,a coupe. No garnish.,,
120,142,FLAMENCO,ORANGE JUICE,JUICE (ORANGE),0.5,,,
121,142,FLAMENCO,LEMON JUICE,JUICE (LEMON),0.5,,,
122,142,FLAMENCO,ORGEAT,SYRUP (ORGEAT),0.75,,,
123,142,FLAMENCO,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,,,
124,,,,,,,,
125,143,FRENCH 75,PLYMOUTH GIN,GIN (PLYMOUTH),1.5,GARNISH: 1 LEMON TWIST,,
126,143,FRENCH 75,LEMON JUICE,JUICE (LEMON),0.75,Shake all the ingredients (except the champagne),,
127,143,FRENCH 75,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,"with ice, then double strain into a flute. Top with",,
128,143,FRENCH 75,DRY CHAMPAGNE,WINE (SPARKLING),remainder,champagne and garnish with the lemon twist.,,
129,,,,,,,,
130,143,FRENCH 95,BUFFALO TRACE BOURBON,WHISKEY (BOURBON),2,Short shake all the ingredients (except the,,
131,143,FRENCH 95,LEMON JUICE,JUICE (LEMON),0.75,"champagne) with 3 ice cubes, then strain into a",,
132,143,FRENCH 95,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,fizz glass over 2 ice cubes. Top with champagne.,,
133,143,FRENCH 95,DRY CHAMPAGNE,WINE (SPARKLING),remainder,No garnish.,,
134,,,,,,,,
135,143,GIMLET,PERRY’S TOT NAVY-STRENGTH GIN,GIN (AMERICAN),2,GARNISH: 1 LIME WEDGE,,
136,143,GIMLET,TOBY’S LIME CORDIAL,CORDIAL (LIME),1.5,"Shake the gin and lime cordial with ice, then",,
137,,,,,,strain into a double rocks glass over cracked ice.,,
138,,,,,,Garnish with the lime wedge.,,
139,,,,,,,,
140,143,GIN FIZZ,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),2,Dry shake all the ingredients (except the club,,
141,143,GIN FIZZ,LEMON JUICE,JUICE (LEMON),0.75,"soda), then shake again with ice. Double strain",,
142,143,GIN FIZZ,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,into a fizz glass and top with club soda. No,,
143,143,GIN FIZZ,EGG WHITE,EGG (WHITE),1,garnish.,,
144,143,GIN FIZZ,CLUB SODA,SODA,remainder,,,
145,,,,,,,,
146,143,GIN RICKEY,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),2,GARNISH: 1 LIME WEDGE,,
147,143,GIN RICKEY,LIME JUICE,JUICE (LIME),1,Short shake all the ingredients (except the club,,
148,143,GIN RICKEY,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,"soda) with 3 ice cubes, then strain into a highball",,
149,143,GIN RICKEY,CLUB SODA,SODA,remainder,glass filled with ice cubes. Top with club soda.,,
150,,,,,,Garnish with the lime wedge.,,
151,,,,,,,,
152,143,GRASSHOPPER,MINT LEAVES,MINT,8 sprigs,GARNISH: 1 MINT LEAF,,
153,143,GRASSHOPPER,MARIE BRIZARD WHITE CRÈME DE MENTHE,LIQUEUR (CRÈME DE MENTHE),1,"In a shaker, gently muddle the mint. Add the",,
154,143,GRASSHOPPER,MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),1,"remaining ingredients and shake with ice, then",,
155,143,GRASSHOPPER,HEAVY CREAM,CREAM (HEAVY),1,double strain into a coupe. Garnish with the mint,,
156,,,,,,leaf.,,
157,,,,,,,,
158,144,HANKY-PANKY,FORDS GIN,GIN (LONDON DRY),2,GARNISH: LEMON TWIST,,
159,144,HANKY-PANKY,CONTRATTO AMERICANO ROSSO VERMOUTH,VERMOUTH (SWEET),0.5,"Stir all the ingredients over ice, then strain into a",,
160,144,HANKY-PANKY,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.5,Nick & Nora glass. Garnish with the lemon twist.,,
161,144,HANKY-PANKY,FERNET-BRANCA,AMARO (FERNET),0.25,,,
162,,,,,,,,
163,144,HONEYSUCKLE,FLOR DE CAÑA EXTRA-DRY WHITE RUM,RUM (SPANISH WHITE),2,GARNISH: 1 LIME WEDGE,,
164,144,HONEYSUCKLE,LIME JUICE,JUICE (LIME),0.75,"Shake all the ingredients with ice, then strain into",,
165,144,HONEYSUCKLE,ACACIA HONEY SYRUP,SYRUP (HONEY),0.75,a coupe. Garnish with the lime wedge.,,
166,,,,,,,,
167,144,JACK ROSE,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),1,GARNISH: 1 APPLE FAN,,
168,144,JACK ROSE,BUSNEL VSOP CALVADOS,BRANDY (APPLE),1,"Shake all the ingredients with ice, then strain into",,
169,144,JACK ROSE,LEMON JUICE,JUICE (LEMON),0.5,a coupe. Garnish with the apple fan.,,
170,144,JACK ROSE,LIME JUICE,JUICE (LIME),0.5,,,
171,144,JACK ROSE,GRENADINE,SYRUP (GRENADINE),0.75,,,
172,,,,,,,,
173,144,LA ROSITA,EL TESORO REPOSADO TEQUILA,AGAVE (TEQUILA REPOSADO),2,GARNISH: 1 ORANGE TWIST,,
174,144,LA ROSITA,CAMPARI,AMARO (APERITIVO),0.5,"Stir all the ingredients over ice, then strain into a",,
175,144,LA ROSITA,COCCHI VERMOUTH DI TORINO,VERMOUTH (SWEET),0.5,Nick & Nora glass. Garnish with the orange twist.,,
176,144,LA ROSITA,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.5,,,
177,144,LA ROSITA,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
178,,,,,,,,
179,144,LAST WORD,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),0.75,"Shake all the ingredients with ice, then strain into",,
180,144,LAST WORD,GREEN CHARTREUSE,CHARTREUSE (GREEN),0.75,a coupe. No garnish.,,
181,144,LAST WORD,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.75,,,
182,144,LAST WORD,LIME JUICE,JUICE (LIME),0.75,,,
183,,,,,,,,
184,144,LUCIEN GAUDIN,TANQUERAY LONDON DRY GIN,GIN (LONDON DRY),1.5,GARNISH: 1 LEMON TWIST,,
185,144,LUCIEN GAUDIN,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.5,"Stir all the ingredients over ice, then strain into a",,
186,144,LUCIEN GAUDIN,CAMPARI,AMARO (APERITIVO),0.5,Nick & Nora glass. Garnish with the lemon twist.,,
187,144,LUCIEN GAUDIN,COINTREAU,LIQUEUR (ORANGE),0.5,,,
188,,,,,,,,
189,144,MAI TAI,LIME WEDGE,FRUIT (LIME),0.25,GARNISH: 1 MINT BOUQUET,,
190,144,MAI TAI,EL DORADO 15-YEAR RUM,RUM (DEMERARA),1,Squeeze a lime wedge into a shaker and drop it,,
191,144,MAI TAI,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),1,in. Add the remaining ingredients and short shake,,
192,144,MAI TAI,LA FAVORITE RHUM AGRICOLE BLANC,RUM (AGRICOLE BLANC),0.25,with 3 ice cubes. Strain into a snifter filled with,,
193,144,MAI TAI,RHUM CLÉMENT CRÉOLE SHRUBB,LIQUEUR (ORANGE),0.5,crushed ice. Garnish with the mint bouquet and,,
194,144,MAI TAI,LIME JUICE,JUICE (LIME),1,serve with a straw.,,
195,144,MAI TAI,ORGEAT,SYRUP (ORGEAT),0.75,,,
196,144,MAI TAI,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
197,,,,,,,,
198,145,MANHATTAN,RITTENHOUSE 100 RYE,WHISKEY (RYE),2.5,GARNISH: 1 BRANDIED CHERRY,,
199,145,MANHATTAN,HOUSE SWEET VERMOUTH,VERMOUTH (SWEET),0.75,"Stir all the ingredients over ice, then strain into a",,
200,145,MANHATTAN,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,coupe. Garnish with the cherry.,,
201,,,,,,,,
202,145,MARGARITA,KOSHER SALT,SALT,,GARNISH: 1 LIME WEDGE,,
203,145,MARGARITA,SIEMBRA AZUL BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),2,Rim half of a double rocks glass with salt. Shake,,
204,145,MARGARITA,COINTREAU,LIQUEUR (ORANGE),0.75,"all the ingredients with ice, then strain into the",,
205,145,MARGARITA,LIME JUICE,JUICE (LIME),1,rimmed glass over ice cubes. Garnish with the lime,,
206,145,MARGARITA,AGAVE NECTAR,SYRUP (AGAVE NECTAR),0.25,wedge.,,
207,,,,,,,,
208,145,MARTINEZ,HAYMAN’S OLD TOM GIN,GIN (OLD TOM),1.5,GARNISH: 1 LEMON TWIST,,
209,145,MARTINEZ,RANSOM OLD TOM GIN,GIN (OLD TOM),0.5,"Stir all the ingredients over ice, then strain into a",,
210,145,MARTINEZ,HOUSE SWEET VERMOUTH,VERMOUTH (SWEET),1,Nick & Nora glass. Garnish with the lemon twist.,,
211,145,MARTINEZ,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.0833335,,,
212,145,MARTINEZ,MASSENEZ KIRSCH VIEUX CHERRY BRANDY,BRANDY (CHERRY),0.0833335,,,
213,145,MARTINEZ,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,,
214,,,,,,,,
215,145,MARTINI,PLYMOUTH BEEFEATER LONDON DRY OR TANQUERAY LONDON DRY GIN,GIN (LONDON DRY),2.5,GARNISH: 1 LEMON TWIST,,
216,145,MARTINI,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.75,"Stir all the ingredients over ice, then strain into a",,
217,145,MARTINI,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,martini glass. Garnish with the lemon twist.,,
218,,,,,,,,
219,145,MEXICAN FIRING SQUAD,TAPATIO 110 BLANCO TEQUILA,AGAVE (TEQUILA BLANCO),1.5,GARNISH: 1 LIME WHEEL AND CHERRY FLAG,,
220,145,MEXICAN FIRING SQUAD,LIME JUICE,JUICE (LIME),0.75,Fill a highball glass with cracked ice. Short shake,,
221,145,MEXICAN FIRING SQUAD,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,"all the ingredients with 3 ice cubes, then strain",,
222,145,MEXICAN FIRING SQUAD,GRENADINE,SYRUP (GRENADINE),0.25,into the glass. Garnish with the lime wheel and,,
223,145,MEXICAN FIRING SQUAD,BITTERMENS HELLFIRE HABANERO SHRUB,SHRUB (HABANERO),0.0625,cherry flag and serve with a straw.,,
224,,,,,,,,
225,147,MINT JULEP,BAKER’S BOURBON,WHISKEY (BOURBON),2,GARNISH: 1 MINT BOUQUET,,
226,147,MINT JULEP,SIMPLE SYRUP,SYRUP (SIMPLE),0.25,Put the bourbon and simple syrup in a julep tin.,,
227,,,,,,Fill the tin halfway with crushed ice. Stir with a,,
228,,,,,,"TEASPOON,, churning the ice as you go, for about",,
229,,,,,,"10 seconds, holding the tin by the rim so the",,
230,,,,,,entire tin can eventually frost up. Add more,,
231,,,,,,crushed ice to fill the drink two-thirds full and stir,,
232,,,,,,until the tin is completely frosted. Add more ice to,,
233,,,,,,form a cone above the rim. Garnish with the mint,,
234,,,,,,bouquet in the center of the ice and serve with a,,
235,,,,,,straw.,,
236,,,,,,,,
237,147,MOJITO,MINT LEAVES,MINT,6 sprigs,GARNISH: 1 MINT BOUQUET,,
238,147,MOJITO,SIMPLE SYRUP,SYRUP (SIMPLE),0.752,"In a shaker, gently muddle the mint and simple",,
239,147,MOJITO,CAÑA BRAVA RUM,RUM (SPANISH WHITE),2,syrup. Add the remaining ingredients and whip,,
240,147,MOJITO,LIME JUICE,JUICE (LIME),1,(shake with a few pieces of crushed ice just until,,
241,147,MOJITO,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0033814,the ingredients are incorporated). Dump into and,,
242,,,,,,double rocks glass and fill the glass with crushed,,
243,,,,,,ice. Garnish with the mint bouquet in the center,,
244,,,,,,of the ice and serve with a straw.,,
245,,,,,,,,
246,147,MOSCOW MULE,CHARBAY VODKA,VODKA,2,GARNISH: 1 LIME WHEEL AND CANDIED,,
247,147,MOSCOW MULE,LIME JUICE,JUICE (LIME),0.5,GINGER FLAG,,
248,147,MOSCOW MULE,GINGER SYRUP,SYRUP (GINGER),0.75,Short shake all the ingredients (except the club,,
249,147,MOSCOW MULE,CLUB SODA,SODA,remainder,"soda) with 3 ice cubes, then strain into a highball",,
250,,,,,,glass filled with ice cubes. Top with club soda.,,
251,,,,,,Garnish with the lime wheel and candied ginger,,
252,,,,,,flag and serve with a straw.,,
253,,,,,,,,
254,147,MUDSLIDE FLIP,REDBREAST 12-YEAR IRISH WHISKEY,WHISKEY (IRISH),1.5,GARNISH: DARK CHOCOLATE,,
255,147,MUDSLIDE FLIP,COFFEE-INFUSED CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),1,"Short shake all the ingredients with 3 ice cubes,",,
256,147,MUDSLIDE FLIP,DEMERARA SYRUP,SYRUP (DEMERARA),0.25,then strain into a pilsner glass filled with crushed,,
257,147,MUDSLIDE FLIP,EGG YOLK,EGG (YOLK),0.5,ice. Coarsely grate some dark chocolate over the,,
258,147,MUDSLIDE FLIP,HEAVY CREAM,CREAM (HEAVY),0.5,drink and serve with a straw.,,
259,147,MUDSLIDE FLIP,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
260,,,,,,,,
261,147,NEGRONI,TANQUERAY LONDON DRY GIN,GIN (LONDON DRY),1.5,GARNISH: 1 ORANGE TWIST,,
262,147,NEGRONI,CAMPARI,AMARO (APERITIVO),1,"Stir all the ingredients over ice, then strain into a",,
263,147,NEGRONI,HOUSE SWEET VERMOUTH,VERMOUTH (SWEET),1,double rocks glass. Garnish with the orange twist.,,
264,,,,,,,,
265,147,OLD-FASHIONED,EAGLE RARE 10-YEAR BOURBON,WHISKEY (BOURBON),2,GARNISH: 1 ORANGE TWIST AND 1 LEMON TWIST,,
266,147,OLD-FASHIONED,DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,"Stir all the ingredients over ice, then strain into a",,
267,147,OLD-FASHIONED,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,"double rocks glass over 1, large ice cube. Garnish",,
268,147,OLD-FASHIONED,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.03125,with the orange and lemon twists.,,
269,,,,,,,,
270,148,OLD PAL,RITTENHOUSE 100 RYE,WHISKEY (RYE),1.5,GARNISH: 1 LEMON TWIST,,
271,148,OLD PAL,CAMPARI,AMARO (APERITIVO),0.75,"Stir all the ingredients over ice, then strain into a",,
272,148,OLD PAL,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.75,Nick & Nora glass. Garnish with the lemon twist.,,
273,,,,,,,,
274,148,PALOMA,KOSHER SALT,SALT,,GARNISH: 1 LIME WHEEL,,
275,148,PALOMA,LIME,FRUIT (LIME),0.5,Rim a highball glass with kosher salt. Squeeze the,,
276,148,PALOMA,EL TESORO PLATINUM TEQUILA,AGAVE (TEQUILA BLANCO),2,"lime into a shaker and drop it in. Add the tequila,",,
277,148,PALOMA,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.5,"grapefruit juice, and simple syrup and short shake",,
278,148,PALOMA,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,with 3 ice cubes. Strain into a highball glass filled,,
279,148,PALOMA,SAN PELLEGRINO POMPELMO GRAPEFRUIT SODA,SODA (GRAPEFRUIT),remainder,with ice cubes and top with grapefruit soda.,,
280,,,,,,Garnish with the lime wheel and serve with a,,
281,,,,,,straw.,,
282,,,,,,,,
283,148,PENDENNIS CLUB COCKTAIL,PLYMOUTH GIN,GIN (PLYMOUTH),2,GARNISH: 1 LIME WEDGE,,
284,148,PENDENNIS CLUB COCKTAIL,PENDENNIS MIX,MIX (PENDENNIS MIX),0.75,"Shake all the ingredients with ice, then strain into",,
285,148,PENDENNIS CLUB COCKTAIL,LIME JUICE,JUICE (LIME),0.75,a coupe. Garnish with the lime wedge.,,
286,148,PENDENNIS CLUB COCKTAIL,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.0625,,,
287,,,,,,,,
288,148,PIÑA COLADA,SMITH & CROSS RUM,RUM (JAMAICAN),1,GARNISH: 1 MINT BOUQUET,,
